managerID,teamID,managerName,startDate,endDate
1,71,Paul Lambert,201206,201502
2,71,Tim Sherwood,201502,201510
3,71,Remi Garde,201511,201603
4,71,Roberto Di Matteo,201606,201610
5,71,Steve Bruce,201610,201810
6,71,Dean Smith,201810,202111
7,72,Roberto Martinez,201308,201605
8,72,Ronald Koeman,201606,201710
9,72,Sam Allardyce,201711,201805
10,72,Marco Silva,201805,201912
11,72,Carlo Ancelotti,201912,202106
74,73,Eddie Howe,201210,202008
75,73,Jason Tindall,202008,202106
8,74,Ronald Koeman,201406,201606
12,74,Mauricio Pochettino,201301,201405
13,74,Claude Puel,201606,201706
14,74,Mauricio Pellegrino,201706,201803
15,74,Mark Hughes,201803,201812
16,74,Ralph Hasenhuttl,201812,na
13,75,Claude Puel,201710,201902
17,75,Nigel Pearson,201111,201506
18,75,Claudio Ranieri,201507,201702
19,75,Craig Shakespeare,201702,201710
20,75,Brendan Rodgers,201902,na
9,76,Sam Allardyce,202012,202105
21,76,Alan Irvine,201406,201412
22,76,Tony Pulis,201501,201711
23,76,Alan Pardew,201711,201804
24,76,Darren Moore,201804,201903
25,76,James Shan,201903,201906
26,76,Slaven Bilic,201906,202012
9,77,Sam Allardyce,201510,201607
27,77,Gus Poyet,201310,201503
28,77,Dick Advocaat,201503,201510
29,77,David Moyes,201607,201705
30,77,Simon Grayson,201706,201710
31,77,Chris Coleman,201711,201804
32,77,Jack Ross,201805,201910
33,77,Phil Parkinson,201910,202011
34,77,Lee Johnson,202012,202201
9,78,Sam Allardyce,201612,201705
23,78,Alan Pardew,201501,201612
35,78,Neil Warnock,201408,201412
36,78,Roy Hodgson,201709,202107
37,78,Patrick Vieira,202107,na
76,79,Neil Adams,201404,201501
77,79,Alex Neil,201501,201703
78,79,Daniel Farke,201705,202111
38,80,Jose Mourinho,201306,201512
39,80,Guus Hiddink,201512,201606
40,80,Antonio Conte,201607,201807
41,80,Maurizio Sarri,201807,201906
42,80,Frank Lampard,201907,202101
43,80,Thomas Tuchel,202101,202209
9,81,Sam Allardyce,201106,201505
26,81,Slaven Bilic,201506,201711
29,81,David Moyes,201711,na
12,82,Mauricio Pochettino,201405,201911
38,82,Jose Mourinho,201911,202104
40,82,Antonio Conte,202111,na
44,82,Nuno Espirito Santo,202106,202111
45,83,Arsene Wenger,199610,201805
46,83,Unai Emery,201805,201911
47,83,Mikel Arteta,201912,na
48,84,Garry Monk,201402,201512
49,84,Francesco Guidolin,201601,201610
50,84,Bob Bradley,201610,201612
51,84,Paul Clement,201701,201712
52,84,Carlos Carvalhal,201712,201805
53,84,Graham Potter,201806,201905
54,84,Steve Cooper,201906,202107
55,84,Russell Martin,202108,na
1,85,Paul Lambert,201801,201805
15,85,Mark Hughes,201305,201801
5,86,Steve Bruce,201907,202110
23,86,Alan Pardew,201012,201412
56,86,John Carver,201501,201506
57,86,Steve McClaren,201506,201603
58,86,Rafael Benitez,201603,201906
20,87,Brendan Rodgers,201206,201510
59,87,Jurgen Klopp,201510,na
60,88,Manuel Pellegrini,201306,201606
61,88,Pep Guardiola,201607,na
38,89,Jose Mourinho,201605,201812
62,89,Louis van Gaal,201407,201605
63,89,Ole Gunnar Solskjaer,201812,202111
10,90,Marco Silva,201705,201801
17,90,Nigel Pearson,201912,202007
79,90,Slavisa Jokanovic,201410,201506
80,90,Enrique Sanchez Flores,201506,201605
81,90,Walter Mazzarri,201607,201705
82,90,Javier Gracia Carlos,201801,201909
83,90,Vladimir Ivic,202008,202012
84,90,Xisco Munoz,202012,202110
5,91,Steve Bruce,201206,201607
10,91,Marco Silva,201701,201705
64,91,Mike Phelan,201607,201701
65,91,Leonid Stutsky,201706,201712
66,91,Nigel Adkins,201712,201906
67,91,Grant McCann,201906,202201
